Symbol,Short Window,Long Window,Accuracy
VPU,24,88,0.7326066790352505
^GSPC,123,132,0.7325479930191972
VTV,105,117,0.7323747680890538
VHT,105,131,0.7323747680890538
VGSH,95,107,0.7322557976106817
VPU,86,105,0.7321428571428571
VGT,4,89,0.7321428571428571
BSV,25,78,0.732117412368196
VYM,25,115,0.7320388349514563
VHT,114,128,0.7319109461966605
VGSH,58,95,0.7319044272663388
BSV,9,87,0.731832430891992
MUB,40,108,0.731786133960047
^GSPC,113,129,0.731675392670157
^GSPC,74,114,0.731675392670157
VGSH,110,113,0.7315530569219958
HYG,24,140,0.731547449415788
VGSH,21,109,0.7312016865776528
MUB,129,134,0.731198589894242
^GSPC,50,99,0.731020942408377
^GSPC,90,139,0.731020942408377
^GSPC,39,97,0.731020942408377
VHT,126,128,0.7309833024118738
VIG,85,122,0.7308411214953271
^GSPC,20,80,0.7308027923211169
^GSPC,41,92,0.7308027923211169
VTV,99,111,0.7307513914656771
HYG,18,134,0.7306925049871759
VYM,30,116,0.7306518723994452
^GSPC,125,135,0.7305846422338569
^GSPC,33,90,0.7305846422338569
VIG,118,124,0.7305740987983979
VHT,102,129,0.7305194805194806
VTV,92,110,0.7305194805194806
VGT,25,78,0.7305194805194806
VCSH,41,81,0.730498945888967
BSV,92,94,0.7304075235109718
^GSPC,127,138,0.7303664921465969
^GSPC,98,134,0.7303664921465969
VCR,6,87,0.7302875695732839
VDC,23,60,0.7302875695732839
VGSH,42,114,0.7301475755446241
VHT,110,127,0.7300556586270872
VIS,6,104,0.729794933655006
SHY,67,77,0.7297120418848168
^GSPC,125,131,0.7297120418848168
VHT,102,134,0.7295918367346939
VCR,110,131,0.7295918367346939
VPU,11,82,0.7295918367346939
VIG,66,112,0.7295060080106809
VIG,126,129,0.7295060080106809
VIG,117,123,0.7295060080106809
VCSH,55,140,0.7294448348559381
VGT,45,73,0.7293599257884972
VGT,89,94,0.7293599257884972
VTV,84,106,0.7293599257884972
VCR,88,118,0.7293599257884972
HYG,8,103,0.7292675976061556
VGSH,26,93,0.7290934645115952
VCSH,37,83,0.7290934645115952
^GSPC,117,133,0.7290575916230366
^GSPC,106,123,0.7290575916230366
VIG,119,123,0.7289719626168224
VHT,68,90,0.7288961038961039
VCR,63,84,0.7288961038961039
VIG,81,118,0.7287049399198932
^GSPC,114,137,0.7286212914485166
MUB,15,90,0.7285546415981199
VIG,71,118,0.7284379172229639
VGT,24,78,0.7284322820037106
VTV,101,109,0.7284322820037106
VCR,113,126,0.7284322820037106
VTV,108,109,0.7284322820037106
VGT,88,94,0.7284322820037106
BSV,84,87,0.7284126531775434
SHY,65,77,0.7284031413612565
^GSPC,70,109,0.7284031413612565
VGSH,24,93,0.7283907238229094
MUB,129,130,0.7282608695652174
VHT,110,119,0.7282003710575139
VCSH,21,104,0.7280393534785664
VTV,17,70,0.7279684601113172
^GSPC,130,137,0.7279668411867365
VIG,116,120,0.7279038718291054
VYM,41,114,0.727877947295423
VYM,53,117,0.727877947295423
BSV,40,77,0.7278426902251354
BSV,81,83,0.7278426902251354
^GSPC,120,136,0.7277486910994765
^GSPC,103,115,0.7277486910994765
VTV,109,110,0.7277365491651205
MUB,121,135,0.7276733254994124
VIG,95,116,0.7276368491321762
^GSPC,126,140,0.7275305410122164
VHT,53,80,0.727504638218924
VHT,109,114,0.727504638218924
VHT,100,126,0.727504638218924
VIG,120,123,0.727369826435247
VCSH,33,86,0.7273366127898805
VCSH,77,133,0.7273366127898805
VCSH,44,83,0.7273366127898805
^GSPC,75,109,0.7273123909249564
VHT,100,131,0.7272727272727273
VTV,110,112,0.7272727272727273
VCR,90,129,0.7270408163265306
VPU,77,99,0.7270408163265306
VCR,113,128,0.7270408163265306
VCR,110,130,0.7270408163265306
SHY,21,69,0.7268760907504364
VCR,56,80,0.7268089053803339
VCR,46,76,0.7268089053803339
VCR,82,110,0.7268089053803339
VHT,111,113,0.7268089053803339
VCR,124,136,0.7268089053803339
^GSPC,124,131,0.7266579406631762
VIG,85,115,0.7265687583444593
VDC,28,60,0.7263450834879406
VHT,104,113,0.7263450834879406
VPU,53,107,0.7263450834879406
VCR,117,129,0.7263450834879406
AGG,130,140,0.7263421292083713
VGSH,49,94,0.7262825017568517
^GSPC,127,130,0.7262216404886562
^GSPC,91,110,0.7262216404886562
VHT,98,129,0.726113172541744
VHT,85,130,0.726113172541744
SHY,17,67,0.7260034904013961
VCSH,24,93,0.7259311314125088
VPU,16,82,0.7258812615955473
VHT,110,112,0.7258812615955473
VHT,118,140,0.7258812615955473
VIG,91,115,0.7257676902536716
VYM,17,104,0.7256588072122053
SHY,48,76,0.7255671902268761
BSV,76,81,0.725562838415503
VTV,101,108,0.725417439703154
VTV,86,105,0.725417439703154
BSV,43,74,0.7252778569392989
VHT,105,110,0.7251855287569573
HYG,19,126,0.7249928754630949
AGG,128,136,0.7249772520473158
VCSH,39,136,0.72487702037948
VCSH,27,81,0.72487702037948
VCR,22,67,0.724721706864564
HYG,18,105,0.7247078939868908
VGSH,90,106,0.724525650035137
VTV,95,100,0.7242578849721707
VHT,110,111,0.7242578849721707
VCSH,48,136,0.7241742796907941
VCSH,100,115,0.7241742796907941
VGSH,101,106,0.7241742796907941
VCSH,40,69,0.7241742796907941
VIG,102,114,0.7241655540720962
MUB,56,134,0.7241480611045829
AGG,127,135,0.7240673339399454
^GSPC,98,111,0.7240401396160558
VTV,63,83,0.724025974025974
VIG,72,97,0.7238985313751669
VGSH,87,108,0.7238229093464511
VPU,50,99,0.7237940630797773
^GSPC,118,122,0.7236038394415357
SHY,11,66,0.7236038394415357
VHT,63,87,0.7235621521335807
VHT,103,120,0.7235621521335807
SHY,31,70,0.7233856893542757
^GSPC,120,140,0.7233856893542757
BSV,22,74,0.7232829866058706
VCSH,49,83,0.7231201686577653
VGSH,87,107,0.7231201686577653
VCR,96,122,0.7230983302411874
VYM,33,109,0.722884882108183
VGSH,82,103,0.7227687983134223
VCSH,10,56,0.7227687983134223
VGSH,57,89,0.7227687983134223
BSV,26,73,0.7227130236534626
VHT,65,88,0.7226345083487941
